Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIA.java	line 8	1185321653495	428
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIA.java	line 9	1185321653495	429
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIA.java	line 10	1185321653495	430
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIA.java	line 11	1185321653495	431
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImage.java	line 4	1185321653495	421
Ink cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImage.java	line 13	1185321653495	422
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 14	1185321653479	383
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 15	1185321653479	384
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 16	1185321653479	385
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 17	1185321653479	386
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 18	1185321653479	387
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 19	1185321653479	388
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 20	1185321653479	389
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 21	1185321653479	390
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 22	1185321653479	391
InkPanel cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 24	1185321653479	392
ImageRegion cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 29	1185321653479	393
ImageRegion cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 31	1185321653479	394
mapRegion cannot be resolved or is not a field	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 40	1185321653479	395
The method getMapRegion(String) is undefined for the type AMIAImagePanel	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 40	1185321653479	396
ImageRegion cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 46	1185321653479	397
The method clear() is undefined for the type AMIAImagePanel	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 55	1185321653479	398
The method repaint() is undefined for the type AMIAImagePanel	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 56	1185321653479	399
The method paintComponent(Graphics) of type AMIAImagePanel must override or implement a supertype method	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 60	1185321653479	400
The method getSize() is undefined for the type AMIAImagePanel	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 62	1185321653479	401
GraphicsUtils cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 65	1185321653479	402
Ink cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 96	1185321653479	403
inkWell cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 96	1185321653479	404
InkStroke cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 99	1185321653479	405
InkStroke cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 100	1185321653479	406
The method setOpaque(boolean) is undefined for the type AMIAImagePanel	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 117	1185321653479	407
The method paintComponent(Graphics) is undefined for the type Object	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 118	1185321653479	408
Application cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 132	1185321653479	409
Application cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 132	1185321653479	410
Sheet cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 136	1185321653479	411
The method createSingleSheet(String) is undefined for the type PrintMedicalImage	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 136	1185321653479	412
Pen cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 138	1185321653479	413
ImageRegion cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 140	1185321653479	414
ImageRegion cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 140	1185321653479	415
The method add(Component) in the type Container is not applicable for the arguments (AMIAImagePanel)	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 142	1185321653479	416
PaperToolkit cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 143	1185321653479	417
PaperToolkit cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel.java	line 143	1185321653479	418
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 15	1185321653479	360
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 16	1185321653479	361
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 17	1185321653479	362
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 18	1185321653479	363
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 19	1185321653479	364
InkPanel cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 21	1185321653479	365
ImageRegion cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 27	1185321653479	366
The method repaint() is undefined for the type AMIAImagePanel2	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 34	1185321653479	367
ImageRegion cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 36	1185321653479	368
The method paintComponent(Graphics) of type AMIAImagePanel2 must override or implement a supertype method	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 60	1185321653479	369
GraphicsUtils cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 71	1185321653479	370
The method getSize() is undefined for the type AMIAImagePanel2	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 96	1185321653479	371
Ink cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 131	1185321653479	372
inkWell cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 131	1185321653479	373
InkStroke cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 134	1185321653479	374
InkStroke cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 135	1185321653479	375
The method setOpaque(boolean) is undefined for the type AMIAImagePanel2	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 156	1185321653479	376
Ink cannot be resolved to a type	Anototators_AMIA/edu/berkeley/cs160/anototators	AMIAImagePanel2.java	line 163	1185321653479	377
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	MainWindow.java	line 35	1185321653417	308
The import edu.stanford cannot be resolved	Anototators_AMIA/edu/berkeley/cs160/anototators	MainWindow.java	line 36	1185321653417	309
