Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu cannot be resolved	GGiD/article_app	H2JConverter.java	line 15	1185321654666	1105
The import edu cannot be resolved	GGiD/article_app	H2JConverter.java	line 16	1185321654666	1106
The import edu cannot be resolved	GGiD/article_app	H2JConverter.java	line 17	1185321654666	1107
The import edu cannot be resolved	GGiD/article_app	H2JConverter.java	line 18	1185321654666	1108
The import edu cannot be resolved	GGiD/article_app	H2JConverter.java	line 19	1185321654666	1109
TiledPatternGenerator cannot be resolved to a type	GGiD/article_app	H2JConverter.java	line 66	1185321654666	1110
TiledPatternGenerator cannot be resolved to a type	GGiD/article_app	H2JConverter.java	line 66	1185321654666	1111
Sheet cannot be resolved to a type	GGiD/article_app	H2JConverter.java	line 68	1185321654666	1112
Sheet cannot be resolved to a type	GGiD/article_app	H2JConverter.java	line 68	1185321654666	1113
Application cannot be resolved to a type	GGiD/article_app	H2JConverter.java	line 77	1185321654666	1114
Application cannot be resolved to a type	GGiD/article_app	H2JConverter.java	line 77	1185321654666	1115
PaperToolkit cannot be resolved to a type	GGiD/article_app	H2JConverter.java	line 78	1185321654666	1116
PaperToolkit cannot be resolved to a type	GGiD/article_app	H2JConverter.java	line 78	1185321654666	1117
Pen cannot be resolved to a type	GGiD/article_app	H2JConverter.java	line 83	1185321654666	1118
Pen cannot be resolved to a type	GGiD/article_app	H2JConverter.java	line 83	1185321654666	1119
The import edu cannot be resolved	GGiD/article_app	P2JPanel.java	line 17	1185321654651	1082
The import edu cannot be resolved	GGiD/article_app	P2JPanel.java	line 18	1185321654651	1083
The import edu cannot be resolved	GGiD/article_app	P2JPanel.java	line 19	1185321654651	1084
The import edu cannot be resolved	GGiD/article_app	P2JPanel.java	line 20	1185321654651	1085
The import edu cannot be resolved	GGiD/article_app	P2JPanel.java	line 21	1185321654651	1086
The import edu cannot be resolved	GGiD/article_app	P2JPanel.java	line 22	1185321654651	1087
InkPanel cannot be resolved to a type	GGiD/article_app	P2JPanel.java	line 24	1185321654651	1088
ImageRegion cannot be resolved to a type	GGiD/article_app	P2JPanel.java	line 28	1185321654651	1089
Region cannot be resolved to a type	GGiD/article_app	P2JPanel.java	line 29	1185321654651	1090
ImageRegion cannot be resolved to a type	GGiD/article_app	P2JPanel.java	line 35	1185321654651	1091
Region cannot be resolved to a type	GGiD/article_app	P2JPanel.java	line 49	1185321654651	1092
The method paintComponent(Graphics) of type P2JPanel must override or implement a supertype method	GGiD/article_app	P2JPanel.java	line 65	1185321654651	1093
GraphicsUtils cannot be resolved	GGiD/article_app	P2JPanel.java	line 71	1185321654651	1094
articleRegion cannot be resolved	GGiD/article_app	P2JPanel.java	line 87	1185321654651	1095
articleRegion cannot be resolved	GGiD/article_app	P2JPanel.java	line 89	1185321654651	1096
articleRegion cannot be resolved	GGiD/article_app	P2JPanel.java	line 89	1185321654651	1098
The method getHeight(ImageObserver) in the type Image is not applicable for the arguments (P2JPanel)	GGiD/article_app	P2JPanel.java	line 89	1185321654651	1099
The method getWidth(ImageObserver) in the type Image is not applicable for the arguments (P2JPanel)	GGiD/article_app	P2JPanel.java	line 89	1185321654651	1097
The method drawImage(Image, AffineTransform, ImageObserver) in the type Graphics2D is not applicable for the arguments (Image, AffineTransform, P2JPanel)	GGiD/article_app	P2JPanel.java	line 90	1185321654651	1100
Ink cannot be resolved to a type	GGiD/article_app	P2JPanel.java	line 93	1185321654651	1101
inkWell cannot be resolved	GGiD/article_app	P2JPanel.java	line 93	1185321654651	1102
InkStroke cannot be resolved to a type	GGiD/article_app	P2JPanel.java	line 104	1185321654651	1103
InkStroke cannot be resolved to a type	GGiD/article_app	P2JPanel.java	line 105	1185321654651	1104
The import edu cannot be resolved	GGiD/article_app	P2JUI.java	line 22	1185321654635	1029
The import edu cannot be resolved	GGiD/article_app	P2JUI.java	line 23	1185321654635	1030
The import edu cannot be resolved	GGiD/article_app	P2JUI.java	line 24	1185321654635	1031
The import edu cannot be resolved	GGiD/article_app	P2JUI.java	line 25	1185321654635	1032
The import edu cannot be resolved	GGiD/article_app	P2JUI.java	line 26	1185321654635	1033
The import edu cannot be resolved	GGiD/article_app	P2JUI.java	line 27	1185321654635	1034
