Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu.stanford cannot be resolved	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 6	1185321676237	3655
The import edu.stanford cannot be resolved	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 7	1185321676237	3656
The import edu.stanford cannot be resolved	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 8	1185321676237	3657
The import edu.stanford cannot be resolved	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 9	1185321676237	3658
Sheet cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 25	1185321676237	3659
The method createPostIt() is undefined for the type PaperUI	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 25	1185321676237	3660
Application cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 26	1185321676237	3661
Application cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 26	1185321676237	3662
Pen cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 29	1185321676237	3663
Pen cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 29	1185321676237	3664
PaperToolkit cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 35	1185321676237	3665
PaperToolkit cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell	PaperBuddy.java	line 35	1185321676237	3666
The import edu.stanford cannot be resolved	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 5	1185321676237	3582
The import edu.stanford cannot be resolved	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 6	1185321676237	3583
The import edu.stanford cannot be resolved	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 7	1185321676237	3584
The import edu.stanford cannot be resolved	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 8	1185321676237	3585
The import edu.stanford cannot be resolved	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 9	1185321676237	3586
Sheet cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 15	1185321676237	3587
The method createPostIt() is undefined for the type PaperUI	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 15	1185321676237	3588
SheetRenderer cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 16	1185321676237	3589
SheetRenderer cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 16	1185321676237	3590
Sheet cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 23	1185321676237	3591
Sheet cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 27	1185321676237	3592
Sheet cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 27	1185321676237	3593
Region cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 28	1185321676237	3594
Region cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 28	1185321676237	3595
Inches cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 42	1185321676237	3598
Inches cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 42	1185321676237	3599
Region cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 42	1185321676237	3596
TextRegion cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 42	1185321676237	3597
Region cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 47	1185321676237	3600
Region cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 47	1185321676237	3601
Inches cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 51	1185321676237	3604
Inches cannot be resolved to a type	SEKS_PaperBuddy/src/edu/berkeley/cs160/paperbuddy/shell/paper	PaperUI.java	line 51	1185321676237	3605
