Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu cannot be resolved	4Corners/src	FourCornersBlog.java	line 3	1185321653229	142
The import edu cannot be resolved	4Corners/src	FourCornersBlog.java	line 4	1185321653229	143
The import edu cannot be resolved	4Corners/src	FourCornersBlog.java	line 5	1185321653229	144
The import edu cannot be resolved	4Corners/src	FourCornersBlog.java	line 6	1185321653229	145
Sheet cannot be resolved to a type	4Corners/src	FourCornersBlog.java	line 16	1185321653229	146
The method createBlog() is undefined for the type FourCornersPaperUI	4Corners/src	FourCornersBlog.java	line 16	1185321653229	147
Application cannot be resolved to a type	4Corners/src	FourCornersBlog.java	line 17	1185321653229	148
Application cannot be resolved to a type	4Corners/src	FourCornersBlog.java	line 17	1185321653229	149
Pen cannot be resolved to a type	4Corners/src	FourCornersBlog.java	line 20	1185321653229	150
Pen cannot be resolved to a type	4Corners/src	FourCornersBlog.java	line 20	1185321653229	151
PaperToolkit cannot be resolved to a type	4Corners/src	FourCornersBlog.java	line 26	1185321653229	152
PaperToolkit cannot be resolved to a type	4Corners/src	FourCornersBlog.java	line 26	1185321653229	153
The import edu cannot be resolved	4Corners/src	FourCornersBlogSwingUI.java	line 8	1185321653229	135
The import edu cannot be resolved	4Corners/src	FourCornersBlogSwingUI.java	line 9	1185321653229	136
The import edu cannot be resolved	4Corners/src	FourCornersBlogSwingUI.java	line 10	1185321653229	137
Sheet cannot be resolved to a type	4Corners/src	FourCornersBlogSwingUI.java	line 15	1185321653229	138
Sheet cannot be resolved to a type	4Corners/src	FourCornersBlogSwingUI.java	line 27	1185321653229	140
Size cannot be resolved to a type	4Corners/src	FourCornersBlogSwingUI.java	line 31	1185321653229	141
The import edu cannot be resolved	4Corners/src	FourCornersPaperUI.java	line 2	1185321652761	75
The import edu cannot be resolved	4Corners/src	FourCornersPaperUI.java	line 3	1185321652761	76
The import edu cannot be resolved	4Corners/src	FourCornersPaperUI.java	line 4	1185321652761	77
The import edu cannot be resolved	4Corners/src	FourCornersPaperUI.java	line 5	1185321652761	78
The import edu cannot be resolved	4Corners/src	FourCornersPaperUI.java	line 6	1185321652761	79
Sheet cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 14	1185321652761	80
The method createBlog() is undefined for the type FourCornersPaperUI	4Corners/src	FourCornersPaperUI.java	line 14	1185321652761	81
SheetRenderer cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 15	1185321652761	82
SheetRenderer cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 15	1185321652761	83
Sheet cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 18	1185321652761	84
Inches cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 24	1185321652761	87
Inches cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 24	1185321652761	88
Sheet cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 24	1185321652761	85
Sheet cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 24	1185321652761	86
Inches cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 26	1185321652761	91
Inches cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 26	1185321652761	92
Region cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 26	1185321652761	89
TextRegion cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 26	1185321652761	90
Region cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 29	1185321652761	93
Region cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 29	1185321652761	94
Inches cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 33	1185321652761	97
Inches cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 33	1185321652761	98
Region cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 33	1185321652761	95
TextRegion cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 33	1185321652761	96
Region cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 36	1185321652761	99
Region cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 36	1185321652761	100
Inches cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 40	1185321652761	103
Inches cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 40	1185321652761	104
Region cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 40	1185321652761	101
TextRegion cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 40	1185321652761	102
Region cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 43	1185321652761	105
Region cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 43	1185321652761	106
Inches cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 47	1185321652761	109
Inches cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 47	1185321652761	110
Region cannot be resolved to a type	4Corners/src	FourCornersPaperUI.java	line 47	1185321652761	107
