Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardImport.java	line 30	1185321670879	3011
FlashCardRun.s cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardImport.java	line 75	1185321670879	3013
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardPaperUI.java	line 4	1185321670848	3001
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardPaperUI.java	line 5	1185321670848	3002
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardPaperUI.java	line 6	1185321670848	3003
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardPaperUI.java	line 7	1185321670848	3004
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardPaperUI.java	line 8	1185321670848	3005
Sheet cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardPaperUI.java	line 14	1185321670848	3006
The method createMap() is undefined for the type FlashCardPaperUI	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardPaperUI.java	line 14	1185321670848	3007
SheetRenderer cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardPaperUI.java	line 16	1185321670848	3008
SheetRenderer cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardPaperUI.java	line 16	1185321670848	3009
Sheet cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardPaperUI.java	line 20	1185321670848	3010
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 3	1185321670817	2979
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 4	1185321670817	2980
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 5	1185321670817	2981
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 6	1185321670817	2982
Sheet cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 11	1185321670817	2983
Sheet cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 19	1185321670817	2984
The method createMap() is undefined for the type FlashCardPaperUI	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 19	1185321670817	2985
s cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 20	1185321670817	2986
Application cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 21	1185321670817	2987
Application cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 21	1185321670817	2988
Pen cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 24	1185321670817	2989
Pen cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 24	1185321670817	2990
PaperToolkit cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 30	1185321670817	2991
PaperToolkit cannot be resolved to a type	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardRun.java	line 30	1185321670832	2992
The import edu.stanford cannot be resolved	BluJay_FlashCards/src/edu/berkeley/cs160/blujay/prototype	FlashCardSwingUI.java	line 29	1185321670785	2947
