Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu cannot be resolved	JURMs_PatientDB	GetRx.java	line 1	1185321669848	2782
The import edu cannot be resolved	JURMs_PatientDB	GetRx.java	line 2	1185321669848	2783
Application cannot be resolved to a type	JURMs_PatientDB	GetRx.java	line 15	1185321669848	2784
PaperToolkit cannot be resolved to a type	JURMs_PatientDB	GetRx.java	line 18	1185321669848	2785
PaperToolkit cannot be resolved to a type	JURMs_PatientDB	GetRx.java	line 18	1185321669848	2786
The constructor Object(String) is undefined	JURMs_PatientDB	GetRx.java	line 28	1185321669848	2787
The import edu cannot be resolved	JURMs_PatientDB	MapFrame.java	line 15	1185321669848	2682
The import edu cannot be resolved	JURMs_PatientDB	MapFrame.java	line 16	1185321669848	2683
The import edu cannot be resolved	JURMs_PatientDB	MapFrame.java	line 17	1185321669848	2684
The import edu cannot be resolved	JURMs_PatientDB	MapFrame.java	line 18	1185321669848	2685
The import edu cannot be resolved	JURMs_PatientDB	MapFrame.java	line 19	1185321669848	2686
The import edu cannot be resolved	JURMs_PatientDB	MapFrame.java	line 20	1185321669848	2687
The import edu cannot be resolved	JURMs_PatientDB	MapFrame.java	line 21	1185321669848	2688
The import edu cannot be resolved	JURMs_PatientDB	MapFrame.java	line 22	1185321669848	2689
The import edu cannot be resolved	JURMs_PatientDB	MapFrame.java	line 23	1185321669848	2690
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 31	1185321669848	2691
HandwritingRecognizer cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 32	1185321669848	2692
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 33	1185321669848	2693
HandwritingRecognizer cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 34	1185321669848	2694
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 35	1185321669848	2695
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 36	1185321669848	2696
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 37	1185321669848	2697
HandwritingRecognizer cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 38	1185321669848	2698
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 39	1185321669848	2699
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 40	1185321669848	2700
HandwritingRecognizer cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 41	1185321669848	2701
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 42	1185321669848	2702
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 43	1185321669848	2703
HandwritingRecognizer cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 44	1185321669848	2704
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 45	1185321669848	2705
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 46	1185321669848	2706
HandwritingRecognizer cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 47	1185321669848	2707
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 48	1185321669848	2708
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 49	1185321669848	2709
HandwritingRecognizer cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 50	1185321669848	2710
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 51	1185321669848	2711
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 52	1185321669848	2712
HandwritingRecognizer cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 53	1185321669848	2713
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 54	1185321669848	2714
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 55	1185321669848	2715
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 56	1185321669848	2716
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 57	1185321669848	2717
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 58	1185321669848	2718
HandwritingRecognizer cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 59	1185321669848	2719
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 60	1185321669848	2720
InkPanel cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 61	1185321669848	2721
InkCollector cannot be resolved to a type	JURMs_PatientDB	MapFrame.java	line 62	1185321669848	2722
