Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu.stanford cannot be resolved	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 35	1185321655900	1649
The import edu.stanford cannot be resolved	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 36	1185321655900	1650
PaperToolkit cannot be resolved to a type	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 80	1185321655900	1651
The method getAllStrokes() is undefined for the type JigsawPiece	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 586	1185321655900	1662
Application cannot be resolved to a type	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 687	1185321655900	1665
The method getR3Application() is undefined for the type JigsawProject	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 687	1185321655900	1666
r3 cannot be resolved	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 688	1185321655900	1667
Application cannot be resolved to a type	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 734	1185321655900	1668
The method getR3Application() is undefined for the type JigsawProject	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 734	1185321655900	1669
r3 cannot be resolved	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 735	1185321655900	1670
Jigsaw.r3 cannot be resolved	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 747	1185321655900	1671
The method getR3Application() is undefined for the type JigsawProject	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 747	1185321655900	1672
Jigsaw.r3 cannot be resolved	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 769	1185321655900	1674
PaperToolkit cannot be resolved to a type	Jigsaw/src/edu/berkeley/cs160/jigsaw	Jigsaw.java	line 769	1185321655900	1675
