Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu.stanford cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 3	1185321656119	1926
The import edu.stanford cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 4	1185321656119	1927
The import edu.stanford cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 5	1185321656119	1928
The import edu.stanford cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 6	1185321656119	1929
The import edu.stanford cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 7	1185321656119	1930
Bundle cannot be resolved to a type	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 19	1185321656119	1931
The method createMap() is undefined for the type CS160MapPaperUI	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 19	1185321656119	1932
Application cannot be resolved to a type	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 20	1185321656119	1933
Application cannot be resolved to a type	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 20	1185321656119	1934
Pen cannot be resolved to a type	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 25	1185321656119	1935
Pen cannot be resolved to a type	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 25	1185321656119	1936
PaperToolkit cannot be resolved to a type	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 34	1185321656119	1937
PaperToolkit cannot be resolved to a type	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160KmatMap.java	line 34	1185321656119	1938
The import edu.stanford cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 12	1185321656119	1906
The import edu.stanford cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 13	1185321656119	1907
The import edu.stanford cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 14	1185321656119	1908
The import edu.stanford cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 15	1185321656119	1909
The import edu.stanford cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 16	1185321656119	1910
InkPanel cannot be resolved to a type	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 18	1185321656119	1911
ImageRegion cannot be resolved to a type	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 21	1185321656119	1912
ImageRegion cannot be resolved to a type	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 25	1185321656119	1913
The method paintComponent(Graphics) of type CS160MapPanel must override a superclass method	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 40	1185321656119	1914
The method paintComponent(Graphics) is undefined for the type Object	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 41	1185321656119	1915
GraphicsUtils cannot be resolved	KMAT/edu/berkeley/cs160/kmat/map/shell	CS160MapPanel.java	line 43	1185321656119	1916
