Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 6	1185321675565	3348
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 7	1185321675565	3349
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 8	1185321675565	3350
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 9	1185321675565	3351
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 10	1185321675565	3352
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 11	1185321675565	3353
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 12	1185321675565	3354
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 13	1185321675565	3355
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 14	1185321675565	3356
Application cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 24	1185321675565	3357
Application cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 24	1185321675565	3358
PDFBundle cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 38	1185321675565	3359
PDFBundle cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 38	1185321675565	3360
Sheet cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 40	1185321675565	3361
Region cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 42	1185321675565	3362
Region cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 43	1185321675565	3363
Pen cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 54	1185321675565	3365
PaperToolkit cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 55	1185321675565	3366
PaperToolkit cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 55	1185321675565	3367
EventHandler cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 59	1185321675565	3368
Region cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 59	1185321675565	3369
ClickAdapter cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/ballotViewer	BallotViewerModel.java	line 60	1185321675565	3370
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/pollPrecision	BallotDesign.java	line 3	1185321675393	3291
Bundle cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/pollPrecision	BallotDesign.java	line 10	1185321675393	3292
Bundle cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/pollPrecision	BallotDesign.java	line 15	1185321675393	3293
Bundle cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/pollPrecision	BallotDesign.java	line 27	1185321675393	3294
Bundle cannot be resolved to a type	PollPrecision/PollPrecisionBallotMaker/src/pollPrecision	BallotDesign.java	line 44	1185321675393	3295
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/pollPrecision/ballotMaker	BallotMakerModel.java	line 32	1185321675315	3247
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/pollPrecision/ballotMaker	BallotMakerModel.java	line 33	1185321675315	3248
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/pollPrecision/ballotMaker	BallotMakerModel.java	line 34	1185321675315	3249
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/pollPrecision/ballotMaker	BallotMakerModel.java	line 35	1185321675315	3250
The import edu cannot be resolved	PollPrecision/PollPrecisionBallotMaker/src/pollPrecision/ballotMaker	BallotMakerModel.java	line 36	1185321675315	3251
