Severity and Description	Path	Resource	Location	Creation Time	Id
The import edu.stanford cannot be resolved	Team42_42Planner	CS160PlannerPaperUI.java	line 7	1185321676424	3975
The import edu.stanford cannot be resolved	Team42_42Planner	CS160PlannerPaperUI.java	line 8	1185321676424	3976
The import edu.stanford cannot be resolved	Team42_42Planner	CS160PlannerPaperUI.java	line 9	1185321676424	3977
The import edu.stanford cannot be resolved	Team42_42Planner	CS160PlannerPaperUI.java	line 10	1185321676424	3978
The import edu.stanford cannot be resolved	Team42_42Planner	CS160PlannerPaperUI.java	line 11	1185321676424	3979
Sheet cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 27	1185321676424	3980
The method createMap(int) is undefined for the type CS160PlannerPaperUI	Team42_42Planner	CS160PlannerPaperUI.java	line 27	1185321676424	3981
SheetRenderer cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 28	1185321676424	3982
SheetRenderer cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 28	1185321676424	3983
Sheet cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 37	1185321676424	3984
Sheet cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 46	1185321676424	3985
Sheet cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 46	1185321676424	3986
Region cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 86	1185321676424	3987
TextRegion cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 86	1185321676424	3988
Inches cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 89	1185321676424	3989
Inches cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 89	1185321676424	3990
Inches cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 107	1185321676424	3993
Inches cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 107	1185321676424	3994
Region cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 107	1185321676424	3991
TextRegion cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 107	1185321676424	3992
Inches cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 109	1185321676424	3997
Inches cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 109	1185321676424	3998
Inches cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 109	1185321676424	3999
Inches cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 109	1185321676424	4000
Region cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 109	1185321676424	3995
Region cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 109	1185321676424	3996
Inches cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 112	1185321676424	4003
Inches cannot be resolved to a type	Team42_42Planner	CS160PlannerPaperUI.java	line 112	1185321676424	4004
